,genre,tempo,time sig,mode,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence
138,afrobeat,92.0,4,1,0.215,0.489,0.432,0.0169,0.231,-12.694,0.0705,0.477
139,afrobeat,125.0,4,0,0.559,0.658,0.775,0.467,0.119,-8.517,0.0701,0.722
140,afrobeat,157.0,4,0,0.789,0.499,0.662,0.00119,0.0738,-4.282,0.0365,0.794
141,afrobeat,113.0,4,0,0.444,0.608,0.676,0.0,0.0975,-8.49,0.113,0.749
142,afrobeat,127.0,4,0,0.705,0.536,0.579,0.0152,0.107,-10.618,0.0656,0.768
143,afrobeat,92.0,4,0,0.246,0.608,0.501,0.011,0.105,-10.646,0.0547,0.365
144,afrobeat,133.0,4,0,0.89,0.494,0.632,0.0144,0.154,-12.71,0.0271,0.95
145,afrobeat,125.0,4,1,0.162,0.699,0.865,0.000632,0.119,-6.713,0.0391,0.937
146,afrobeat,113.0,4,1,0.312,0.779,0.91,0.0415,0.0431,-7.976,0.0334,0.95
147,afrobeat,128.0,4,1,0.126,0.777,0.725,0.0108,0.0917,-9.012,0.047,0.851
148,afrobeat,172.0,4,1,0.496,0.505,0.7,0.0,0.111,-5.175,0.104,0.75
149,afrobeat,128.0,4,0,0.0773,0.786,0.876,5.56e-06,0.38,-6.032,0.0445,0.879
150,afrobeat,95.0,4,1,0.823,0.543,0.136,0.494,0.112,-21.081,0.0326,0.276
151,afrobeat,77.0,4,1,0.775,0.654,0.645,0.000188,0.105,-7.266,0.0398,0.563
152,afrobeat,119.0,4,1,0.25,0.491,0.802,0.0,0.387,-7.106,0.0392,0.472
153,afrobeat,144.0,4,1,0.02,0.796,0.566,0.0181,0.116,-7.857,0.0695,0.58
154,afrobeat,127.0,5,1,0.451,0.744,0.81,5.75e-05,0.325,-5.662,0.0482,0.865
155,afrobeat,180.0,4,1,0.21,0.479,0.865,0.0,0.0956,-4.964,0.362,0.83
156,afrobeat,144.0,3,0,0.754,0.647,0.791,9.38e-05,0.122,-6.042,0.0422,0.675
157,afrobeat,126.0,4,0,0.0524,0.768,0.738,3.01e-05,0.0561,-3.017,0.0406,0.685
158,afrobeat,100.0,4,1,0.508,0.702,0.891,0.0,0.0937,-6.797,0.178,0.721
159,afrobeat,151.0,3,1,0.768,0.365,0.43,0.797,0.116,-11.465,0.0352,0.786
160,afrobeat,103.0,4,0,0.0526,0.785,0.898,0.0,0.0685,-1.027,0.11,0.759
161,afrobeat,127.0,1,0,0.233,0.503,0.668,0.00525,0.306,-7.554,0.0453,0.833
162,afrobeat,164.0,4,0,0.916,0.494,0.48,0.004,0.0886,-10.057,0.0339,0.687
163,afrobeat,170.0,4,1,0.741,0.496,0.237,0.0,0.0752,-15.938,0.06,0.48
164,afrobeat,184.0,4,0,0.0825,0.605,0.793,0.0,0.124,-3.084,0.297,0.647
165,afrobeat,194.0,3,0,0.892,0.608,0.25,0.00489,0.369,-20.316,0.0656,0.66
166,afrobeat,104.0,4,1,0.0199,0.754,0.933,0.0,0.297,-5.786,0.0448,0.75
167,afrobeat,124.0,4,0,0.0803,0.621,0.9,0.00316,0.0587,-5.947,0.0507,0.751
168,afrobeat,109.0,4,1,0.656,0.656,0.736,0.000503,0.112,-7.537,0.0641,0.788
169,afrobeat,130.0,4,1,0.0362,0.587,0.965,0.0,0.138,-4.106,0.101,0.825
170,afrobeat,146.0,4,1,0.0382,0.731,0.684,0.00033,0.0343,-11.872,0.0504,0.786
171,afrobeat,102.0,4,0,0.932,0.485,0.667,0.0295,0.189,-5.175,0.0414,0.337
172,afrobeat,100.0,4,0,0.565,0.618,0.804,0.17,0.0639,-7.182,0.0347,0.886
173,afrobeat,90.0,4,0,0.387,0.65,0.802,5.45e-06,0.103,-6.881,0.17,0.829
174,afrobeat,116.0,4,1,0.678,0.68,0.529,0.0,0.379,-7.893,0.0508,0.572
175,afrobeat,126.0,4,1,0.0596,0.777,0.897,0.0,0.29,-2.871,0.0516,0.964
176,afrobeat,178.0,4,1,0.802,0.361,0.31,0.687,0.128,-12.102,0.0398,0.408
177,afrobeat,124.0,4,1,0.0724,0.498,0.866,1.45e-06,0.245,-7.555,0.224,0.921
178,afrobeat,116.0,4,1,0.585,0.666,0.259,0.0,0.079,-10.721,0.04,0.698
179,afrobeat,138.0,5,1,0.898,0.515,0.411,0.0,0.288,-8.357,0.173,0.76
180,afrobeat,97.0,4,0,0.664,0.611,0.481,9.48e-05,0.382,-8.235,0.0255,0.743
181,afrobeat,137.0,4,0,0.595,0.691,0.59,0.251,0.093,-7.957,0.0346,0.925
182,afrobeat,112.0,4,0,0.0123,0.786,0.624,0.0,0.0748,-8.744,0.0538,0.711
183,afrobeat,100.0,4,0,0.126,0.641,0.768,0.558,0.0881,-7.314,0.0521,0.384
184,afrobeat,127.0,4,0,0.0181,0.795,0.816,0.435,0.44,-7.353,0.0521,0.922
185,afrobeat,160.0,4,1,0.286,0.652,0.757,0.0,0.0886,-6.819,0.153,0.962
186,afrobeat,145.0,4,0,0.185,0.742,0.644,0.0881,0.0806,-5.812,0.129,0.595
187,afrobeat,67.0,3,1,0.312,0.668,0.632,0.0,0.0995,-3.102,0.0575,0.494
188,afrobeat,178.0,4,0,0.0859,0.628,0.616,0.0,0.216,-5.315,0.309,0.879
189,afrobeat,110.0,4,0,0.798,0.791,0.71,0.941,0.292,-6.604,0.0305,0.935
190,afrobeat,85.0,4,1,0.763,0.733,0.737,0.00554,0.162,-8.785,0.0468,0.761
191,afrobeat,99.0,4,1,0.663,0.69,0.535,0.528,0.146,-11.299,0.0599,0.446
192,afrobeat,120.0,4,1,0.28,0.721,0.604,0.216,0.225,-10.224,0.0302,0.95
193,afrobeat,113.0,4,1,0.299,0.782,0.896,0.0607,0.535,-8.838,0.0334,0.959
194,afrobeat,89.0,4,1,0.834,0.731,0.319,4.48e-05,0.118,-8.196,0.0416,0.302
195,afrobeat,114.0,4,0,0.262,0.842,0.688,0.0,0.286,-11.271,0.227,0.962
196,afrobeat,110.0,4,0,0.531,0.816,0.799,0.0,0.0834,-2.173,0.238,0.925
197,afrobeat,130.0,4,1,0.0653,0.737,0.855,0.0048,0.0583,-4.394,0.084,0.961
198,afrobeat,126.0,4,1,0.115,0.66,0.934,0.152,0.266,-12.019,0.063,0.963
199,afrobeat,120.0,4,1,0.688,0.649,0.652,0.0011,0.0385,-12.807,0.0492,0.86
200,alt-rock,100.0,4,1,0.156,0.491,0.942,0.0,0.367,-5.333,0.132,0.387
201,alt-rock,110.0,4,1,0.172,0.77,0.737,8.24e-05,0.101,-6.529,0.0289,0.924
202,alt-rock,133.0,4,0,0.00986,0.629,0.608,1.3e-06,0.106,-11.539,0.0467,0.794
203,alt-rock,130.0,4,1,0.00188,0.658,0.709,0.00447,0.0657,-6.736,0.0904,0.855
204,alt-rock,64.0,4,0,0.0098,0.0797,0.851,0.256,0.318,-7.742,0.0712,0.197
205,alt-rock,123.0,4,0,0.163,0.608,0.783,0.792,0.109,-6.673,0.0344,0.276
206,alt-rock,134.0,4,1,0.00924,0.434,0.543,9.83e-06,0.066,-10.06,0.0327,0.344
207,alt-rock,111.0,4,0,0.747,0.409,0.401,0.821,0.114,-15.152,0.073,0.234
208,alt-rock,168.0,4,1,0.00781,0.266,0.946,2.73e-06,0.26,-2.855,0.171,0.498
209,alt-rock,177.0,4,0,0.0284,0.271,0.755,0.000411,0.123,-6.306,0.142,0.437
210,alt-rock,142.0,4,1,0.0484,0.437,0.803,1.78e-05,0.0648,-6.495,0.0579,0.203
211,alt-rock,146.0,4,1,0.205,0.436,0.863,8.96e-05,0.113,-11.51,0.0361,0.745
212,alt-rock,122.0,4,1,0.651,0.596,0.868,0.285,0.128,-6.497,0.0326,0.636
213,alt-rock,138.0,4,1,0.0236,0.373,0.567,3.47e-06,0.0916,-10.835,0.032,0.298
214,alt-rock,144.0,3,1,0.0378,0.353,0.464,0.000969,0.0944,-8.543,0.0272,0.148
215,alt-rock,135.0,4,0,0.0605,0.365,0.791,7.37e-05,0.189,-6.746,0.0484,0.765
216,alt-rock,123.0,4,1,0.213,0.621,0.599,0.578,0.11,-10.402,0.0293,0.374
217,alt-rock,110.0,4,0,0.167,0.646,0.644,0.0111,0.0843,-9.504,0.0365,0.642
218,alt-rock,111.0,4,1,0.0513,0.693,0.767,0.00279,0.0278,-8.639,0.0329,0.822
219,alt-rock,77.0,4,1,0.226,0.591,0.417,0.00185,0.146,-10.453,0.024,0.335
220,alt-rock,167.0,4,1,0.00104,0.427,0.932,0.0257,0.195,-4.174,0.106,0.551
221,alt-rock,99.0,4,1,0.00132,0.769,0.415,0.00336,0.102,-14.398,0.0812,0.297
222,alt-rock,183.0,4,1,0.0276,0.325,0.657,0.000345,0.0788,-8.203,0.0422,0.221
223,alt-rock,92.0,4,1,3.69e-05,0.52,0.955,6.58e-06,0.0284,-3.911,0.0492,0.429
224,alt-rock,107.0,4,0,0.0111,0.495,0.936,0.000709,0.276,-7.196,0.0401,0.837
225,alt-rock,144.0,4,0,0.0126,0.359,0.943,0.00235,0.272,-2.312,0.0743,0.327
226,alt-rock,142.0,4,0,2.57e-05,0.476,0.936,0.000729,0.255,-4.906,0.0645,0.385
227,alt-rock,93.0,4,1,0.0237,0.486,0.867,1.66e-06,0.155,-5.483,0.0295,0.281
228,alt-rock,157.0,4,0,0.0899,0.658,0.834,0.223,0.234,-7.643,0.0791,0.832
229,alt-rock,150.0,4,0,1.04e-05,0.425,0.96,1.41e-06,0.158,-4.61,0.0561,0.45
230,alt-rock,162.0,4,1,0.399,0.354,0.566,0.000947,0.212,-8.175,0.0345,0.139
231,alt-rock,118.0,4,1,1.29e-05,0.428,0.836,0.744,0.109,-5.515,0.0505,0.359
232,alt-rock,141.0,4,1,0.000266,0.478,0.974,0.0984,0.0738,-3.866,0.102,0.268
233,alt-rock,141.0,4,0,0.00138,0.388,0.994,0.00678,0.33,-5.569,0.199,0.346
234,alt-rock,98.0,4,1,0.436,0.579,0.349,0.0178,0.134,-10.153,0.0268,0.514
235,alt-rock,130.0,4,0,0.00119,0.571,0.923,0.000521,0.114,-5.16,0.0438,0.776
236,alt-rock,103.0,4,1,0.000269,0.378,0.809,0.000546,0.344,-11.158,0.0543,0.395
237,alt-rock,99.0,4,0,0.00664,0.545,0.865,1.1e-05,0.168,-5.708,0.0286,0.543
238,alt-rock,201.0,3,0,0.00401,0.216,0.751,1.82e-05,0.0829,-6.042,0.0363,0.136
239,alt-rock,107.0,4,1,0.00118,0.675,0.765,0.78,0.552,-6.177,0.0415,0.246
240,alt-rock,210.0,4,1,0.0705,0.292,0.867,2.84e-05,0.439,-4.862,0.0861,0.637
241,alt-rock,158.0,4,1,0.00891,0.478,0.827,1.41e-06,0.361,-5.378,0.0387,0.277
242,alt-rock,114.0,4,1,0.442,0.55,0.377,0.0955,0.126,-9.933,0.0254,0.261
243,alt-rock,86.0,4,1,0.317,0.467,0.536,0.0119,0.123,-10.906,0.0268,0.429
244,alt-rock,124.0,4,0,0.122,0.602,0.868,0.316,0.357,-6.354,0.0689,0.586
245,alt-rock,95.0,4,0,0.182,0.64,0.616,0.774,0.113,-8.211,0.0315,0.202
246,alt-rock,180.0,4,1,0.00547,0.385,0.958,0.0,0.28,-5.298,0.131,0.465
247,alt-rock,122.0,4,1,0.0304,0.658,0.881,1.53e-06,0.12,-5.99,0.036,0.834
248,alt-rock,143.0,4,1,0.00468,0.499,0.873,0.0,0.165,-3.902,0.0386,0.864
249,alt-rock,92.0,4,0,0.107,0.702,0.787,0.0,0.129,-4.593,0.0258,0.966
250,alt-rock,176.0,4,1,0.0882,0.576,0.389,0.825,0.0946,-12.474,0.04,0.726
251,alt-rock,171.0,4,1,0.000552,0.214,0.947,0.00352,0.238,-5.053,0.0507,0.483
252,alt-rock,80.0,4,0,0.3,0.353,0.71,0.563,0.162,-5.594,0.0323,0.257
253,alt-rock,123.0,4,1,0.000181,0.476,0.781,0.581,0.108,-8.01,0.0516,0.637
254,alt-rock,175.0,4,1,0.000255,0.222,0.792,0.0711,0.285,-6.387,0.051,0.215
255,alt-rock,168.0,4,1,0.00156,0.47,0.756,0.0091,0.135,-6.524,0.0489,0.316
256,alt-rock,117.0,4,1,0.00189,0.509,0.774,0.000549,0.143,-4.054,0.0338,0.0824
257,alt-rock,144.0,4,1,4.14e-05,0.471,0.876,0.733,0.322,-10.627,0.0365,0.657
258,alt-rock,114.0,4,1,0.337,0.524,0.459,0.0017,0.135,-8.737,0.0284,0.658
259,alt-rock,126.0,4,0,2.29e-05,0.464,0.816,0.122,0.318,-6.598,0.0446,0.345
260,alt-rock,122.0,4,1,0.00016,0.497,0.6,0.0768,0.0892,-5.114,0.0369,0.412
261,alt-rock,126.0,4,1,1.93e-05,0.22,0.869,0.622,0.597,-7.47,0.0577,0.442
262,alt-rock,145.0,4,1,3.98e-05,0.44,0.904,0.153,0.0976,-6.345,0.0494,0.252
263,alt-rock,170.0,4,1,0.000631,0.246,0.768,0.301,0.102,-7.48,0.0387,0.35
